Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bulk Rate,Fwd Header Length.1
192.168.189.133,44288,52.178.17.2,443,6,2024-03-18 13:29:44,1359989.1662597656,10,11,3453,5829,1969.0,54.0,345.3,572.5296586204072,3186.0,60.0,529.9090909090909,930.0484302683534,6825.054368283905,15.441299475755443,67.99945831298828,112.8045485174002,305.5555820465088,0.0002384185791015625,1359.7891330718994,151.08768145243326,137.39011800150487,310.49156188964844,0.31757354736328125,1130.3129196166992,113.03129196166992,136.2284729696533,305.5555820465088,0.0002384185791015625,0,0,0,0,200,220,7.352999750359735,8.088299725395707,54,3186,442.0,785.9271140324836,617681.4285714285,1,0,0,0,0,0,0,0,1.1,442.0,345.3,529.9090909090909,64240,64240,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3453,11,5829,0.0,0.0,0.0,0.0,0.0,0.0,200
192.168.189.133,52770,8.8.8.8,443,6,2024-03-18 13:30:17,182738.0657196045,2,1,128,60,74.0,54.0,64.0,10.0,60.0,60.0,60.0,0.0,1028.7949544594035,16.416940762650057,91.36903285980225,91.30513668060303,182.67416954040527,0.06389617919921875,182.7380657196045,182.7380657196045,0.0,182.7380657196045,182.7380657196045,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,10.944627175100038,5.472313587550019,54,74,62.666666666666664,8.379870059984356,70.22222222222221,1,0,0,0,0,0,0,0,0.5,62.666666666666664,64.0,60.0,64240,64240,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,128,1,60,0.0,0.0,0.0,0.0,0.0,0.0,40
192.168.189.133,57930,142.250.204.100,443,6,2024-03-18 13:30:17,85724.3537902832,2,1,128,60,74.0,54.0,64.0,10.0,60.0,60.0,60.0,0.0,2193.075732713306,34.995889351808074,42.8621768951416,42.69051551818848,85.55269241333008,0.171661376953125,85.7243537902832,85.7243537902832,0.0,85.7243537902832,85.7243537902832,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,23.33059290120538,11.66529645060269,54,74,62.666666666666664,8.379870059984356,70.22222222222221,1,0,0,0,0,0,0,0,0.5,62.666666666666664,64.0,60.0,64240,64240,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,128,1,60,0.0,0.0,0.0,0.0,0.0,0.0,40
192.168.189.133,51564,142.250.207.67,443,6,2024-03-18 13:30:17,282656.6696166992,5,4,863,3034,627.0,54.0,172.6,227.3320039061812,2854.0,60.0,758.5,1209.8374890868608,13787.044209091491,31.840748750788666,35.3320837020874,46.18843520535559,114.8674488067627,0.24700164794921875,282.6566696166992,70.6641674041748,43.51669046152282,115.78726768493652,0.6470680236816406,187.19053268432617,62.396844228108726,46.58999368718653,115.74506759643555,2.2351741790771484,0,0,0,0,100,80,17.689304861549257,14.151443889239406,54,2854,433.0,874.075257375219,764007.5555555555,1,0,0,0,0,0,0,0,0.8,433.0,172.6,758.5,64240,64239,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,863,4,3034,0.0,0.0,0.0,0.0,0.0,0.0,100
192.168.189.133,41166,172.217.24.227,443,6,2024-03-18 13:30:13,4517571.449279785,16,15,2081,7653,667.0,54.0,130.0625,162.23573463867325,3513.0,60.0,510.2,912.5763675806352,2154.697520401552,6.862094014017682,150.58571497599283,545.068921431463,2976.412534713745,0.06127357482910156,4517.571449279785,301.17142995198566,741.4547059550246,2977.166175842285,0.40221214294433594,4396.259307861328,314.0185219900949,765.9106368560498,2977.231979370117,0.3337860107421875,0,0,0,0,320,300,3.541725942718804,3.3203680712988786,54,3513,314.0,672.7844403862254,452638.9032258064,1,0,0,0,0,0,0,0,0.9375,314.0,130.0625,510.2,64240,64239,6,20,0.0,0.0,0.0,0.0,2976.412534713745,0.0,2976.412534713745,2976.412534713745,16,2081,15,7653,0.0,0.0,0.0,0.0,0.0,0.0,320
192.168.189.133,34590,151.101.76.223,443,6,2024-03-18 13:30:14,3529310.2264404297,20,22,3416,7077,680.0,54.0,170.8,176.8554777212173,3785.0,60.0,321.6818181818182,810.3248723569643,2973.102200364791,11.90034236303452,86.08005104995355,437.6429885954434,2842.2789573669434,-0.028133392333984375,3529.3102264404297,185.7531698126542,628.4516375856721,2842.6568508148193,0.10752677917480469,3442.772150039673,163.94153095427015,601.1445765204036,2843.0001735687256,0.0002384185791015625,0,0,0,0,400,440,5.666829696683105,6.233512666351415,54,3785,249.83333333333334,603.7547561349355,364519.8055555555,1,0,0,0,0,0,0,0,1.1,249.83333333333334,170.8,321.6818181818182,64240,64239,13,20,0.0,0.0,0.0,0.0,2842.2789573669434,0.0,2842.2789573669434,2842.2789573669434,20,3416,22,7077,0.0,0.0,0.0,0.0,0.0,0.0,400
192.168.189.133,52760,8.8.8.8,443,6,2024-03-18 13:30:17,308517.6944732666,5,4,807,3034,571.0,54.0,161.4,204.94643202554178,2854.0,60.0,758.5,1209.8374890868608,12449.853181217866,29.171746584473002,38.564711809158325,69.15618953813126,205.53994178771973,0.13184547424316406,308.5176944732666,77.12942361831665,81.6252245589134,206.1469554901123,0.42819976806640625,220.4427719116211,73.48092397054036,93.52285242294123,205.53994178771973,1.1191368103027344,0,0,0,0,100,80,16.206525880262777,12.965220704210223,54,2854,426.77777777777777,872.8705870450642,761903.061728395,1,0,0,0,0,0,0,0,0.8,426.77777777777777,161.4,758.5,64240,64239,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,807,4,3034,0.0,0.0,0.0,0.0,0.0,0.0,100
192.168.189.133,49758,108.177.97.84,443,6,2024-03-18 13:30:13,4236923.694610596,12,11,1382,6120,571.0,54.0,115.16666666666667,140.7402058956699,4254.0,60.0,556.3636363636364,1201.539790339294,1770.6242879810675,5.428466891970748,192.587440664118,635.1652204423418,3055.5803775787354,0.04935264587402344,4236.923694610596,385.174881328236,856.3915310627806,3055.5803775787354,0.3108978271484375,4143.6827182769775,414.36827182769775,907.0479438098623,3098.2723236083984,0.3483295440673828,0,0,0,0,240,220,2.832243595810825,2.596223296159923,54,4254,326.17391304347825,865.6618303569023,749370.4045368623,1,0,0,0,0,0,0,0,0.9166666666666666,326.17391304347825,115.16666666666667,556.3636363636364,64240,64239,4,20,0.0,0.0,0.0,0.0,3055.5803775787354,0.0,3055.5803775787354,3055.5803775787354,12,1382,11,6120,0.0,0.0,0.0,0.0,0.0,0.0,240
192.168.189.133,51580,142.250.207.67,443,6,2024-03-18 13:30:17,421763.65852355957,5,4,831,5086,595.0,54.0,166.2,214.53987974267162,4906.0,60.0,1271.5,2098.379553369695,14029.184071271704,21.33896512446262,52.720457315444946,80.31826752885064,193.7849521636963,0.05435943603515625,421.76365852355957,105.44091463088989,86.05981158570282,194.1819190979004,0.39005279541015625,235.51201820373535,78.50400606791179,83.09436412753531,193.7849521636963,1.1217594146728516,0,0,0,0,100,80,11.854980624701456,9.483984499761165,54,4906,657.4444444444445,1511.3564996835798,2284198.4691358027,1,0,0,0,0,0,0,0,0.8,657.4444444444445,166.2,1271.5,64240,64239,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,831,4,5086,0.0,0.0,0.0,0.0,0.0,0.0,100
192.168.189.133,57932,142.250.204.100,443,6,2024-03-18 13:30:17,477408.64753723145,5,4,888,1634,652.0,54.0,177.6,237.32644184751098,1454.0,60.0,408.5,603.6197064377537,5282.686044775337,18.851774148682804,59.67608094215393,96.56612289600889,247.88212776184082,0.034809112548828125,477.40864753723145,119.35216188430786,108.16900766445427,249.16958808898926,0.5140304565429688,274.79004859924316,91.59668286641438,110.96864995958104,247.88212776184082,1.1167526245117188,0,0,0,0,100,80,10.473207860379336,8.378566288303468,54,1454,280.22222222222223,454.3033195705701,206391.50617283955,1,0,0,0,0,0,0,0,0.8,280.22222222222223,177.6,408.5,64240,64239,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,888,4,1634,0.0,0.0,0.0,0.0,0.0,0.0,100
